sneaker_name,brand,sneaker_image,retail_price,url
Nike Air Max 1 Ultra Moire Phantom Gum,Nike,https://images.stockx.com/images/Nike-Air-Max-1-Ultra-Moire-Phantom-Gum.png?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617713431,130.00,https://stockx.com/nike-air-max-1-ultra-moire-phantom-gum
Nike Air Max 1 Golf White Gum White Swoosh,Nike,https://images.stockx.com/360/Nike-Air-Max-1-Golf-White-Gum/Images/Nike-Air-Max-1-Golf-White-Gum/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1634923613&h=384,120.00,https://stockx.com/nike-air-max-1-golf-white-gum
Nike Air Max 1 Golf White Gum (Womens),Nike,https://images.stockx.com/360/Nike-Air-Max-1-Golf-White-Gum-W/Images/Nike-Air-Max-1-Golf-White-Gum-W/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1691159165&h=384,120.00,https://stockx.com/nike-air-max-1-golf-white-gum-w
Nike Air Max 1 Patchwork (Womens),Nike,https://images.stockx.com/images/Nike-Air-Max-1-Patchwork-W.png?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617714759,130.00,https://stockx.com/nike-air-max-1-patchwork-w
Nike Air Max 1 Embroidered Dusty Peach (GS),Nike,https://images.stockx.com/images/Nike-Air-Max-1-Embroidered-Dusty-Peach-GS.png?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617711096,100.00,https://stockx.com/nike-air-max-1-embroidered-dusty-peach-gs
Nike Air Max 1 BR White Bright Grape Venom Green (Womens),Nike,https://images.stockx.com/images/Nike-Air-Max-1-BR-White-Bright-Grape-Venom-Green-W.png?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1617712869,160.00,https://stockx.com/nike-air-max-1-br-white-bright-grape-venom-green-w
Nike Air Max 1 Golf Payday (Special Box),Nike,https://images.stockx.com/images/Nike-Air-Max-1-Golf-Payday-Product.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1689840512,140.00,https://stockx.com/nike-air-max-1-golf-shredded-money-special-box
Jordan 1 Retro High OG Chicago Lost and Found,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Chicago-Reimagined/Images/Air-Jordan-1-Retro-High-OG-Chicago-Reimagined/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1665692308&h=384,180.00,https://stockx.com/air-jordan-1-retro-high-og-chicago-reimagined-lost-and-found
Jordan 1 Retro High OG Stealth,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Stealth/Images/Air-Jordan-1-Retro-High-OG-Stealth/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1660202412&h=384,180.00,https://stockx.com/air-jordan-1-retro-high-og-stealth
Jordan 1 Retro High 85 Black White (2023),Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-85-Black-White-2023/Images/Air-Jordan-1-Retro-High-85-Black-White-2023/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1675765293&h=384,200.00,https://stockx.com/air-jordan-1-retro-high-85-black-white-2023
Jordan 1 Retro High OG True Blue,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-True-Blue/Images/Air-Jordan-1-Retro-High-OG-True-Blue/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1674030278&h=384,180.00,https://stockx.com/air-jordan-1-retro-high-og-true-blue
Jordan 1 Retro High OG Light Fusion Red,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Light-Fusion-Red/Images/Air-Jordan-1-Retro-High-OG-Light-Fusion-Red/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1635183657&h=384,170.00,https://stockx.com/air-jordan-1-retro-high-og-light-fusion-red
